"Source:","D:\cummins\Auxillary supply\DSP_board\DSP_board\DSP_board.kicad_sch"
"Date:","05-05-2023 06:20:35"
"Tool:","Eeschema (6.0.7)"
"Generator:","D:\installed\ki-cad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","137"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Description","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"","","Cvddio_4","0.1u","pspice:CAP","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","","","","",""
"","","FB1","BKP1005HS221-T","BK100:BKP1005HS221-T","BKP100:BEADC1005X55N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA6/557242.pdf","","TAIYO YUDEN - BKP1005HS221-T - FERRITE BEAD, 0.2OHM, 800mA, 0402","","0.55","TAIYO YUDEN","BKP1005HS221-T","963-BKP1005HS221-T","https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/BKP1005HS221-T?qs=I6KAKw0tg2wWE0jZr0VMMA%3D%3D","",""
"","","FB2","MPZ1005S600CT000","MPZ100:MPZ1005S600CT000","BKP100:BEADC1005X55N","https://product.tdk.com/system/files/dam/doc/product/emc/emc/beads/catalog/beads_commercial_power_mpz1005_en.pdf","","Chip Beads, |Z|=60? at 100MHz, L x W x T :","","0.55","TDK","MPZ1005S600CT000","810-MPZ1005S600CT000","https://www.mouser.co.uk/ProductDetail/TDK/MPZ1005S600CT000/?qs=8Kz9Wu9QwqU8N777vIftFA%3D%3D","",""
"","","IC1","SN74S1053NSR","diode_adc:SN74S1053NSR","sn74s:sn74","http://www.ti.com/lit/gpn/sn74s1053","","16-Bit Schottky Barrier Diode Bus-Termination Array","","2","Texas Instruments","SN74S1053NSR","595-SN74S1053NSR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74S1053NSR?qs=gb35HGp1gQKBVeOxZl0Yrw%3D%3D","",""
"","","IC5","F280025CPNQR","f280025C:F280025CPNQR","f280025c:f280025c","https://www.ti.com/lit/gpn/tms320f280025c-q1","","32-bit Microcontrollers - MCU Automotive C2000 32-bit MCU with 100 MHz, FPU, TMU, 128-KB flash, CLB 80-LQFP -40 to 125","","1.6","Texas Instruments","F280025CPNQR","595-F280025CPNQR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/F280025CPNQR?qs=81r%252BiQLm7BRa%252BagXYbOMBQ%3D%3D","",""
"","","IC_batt_1","LM324DR","quad_opamp:LM324DR","lm324:SOIC127P600X175-14N","http://componentsearchengine.com/Datasheets/3/LM324DR.pdf","","QUADRUPLE OPERATIONAL AMPLIFIERS","","1.75","Texas Instruments","LM324DR","595-LM324DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM324DR?qs=KaAwwOlwaps1n%2FWkYDapEg%3D%3D","",""
"","","IC_batt_2","LM324DR","quad_opamp:LM324DR","lm324:SOIC127P600X175-14N","http://componentsearchengine.com/Datasheets/3/LM324DR.pdf","","QUADRUPLE OPERATIONAL AMPLIFIERS","","1.75","Texas Instruments","LM324DR","595-LM324DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM324DR?qs=KaAwwOlwaps1n%2FWkYDapEg%3D%3D","",""
"","","IC_dc_link_leakage1","LM324DR","quad_opamp:LM324DR","lm324:SOIC127P600X175-14N","http://componentsearchengine.com/Datasheets/3/LM324DR.pdf","","QUADRUPLE OPERATIONAL AMPLIFIERS","","1.75","Texas Instruments","LM324DR","595-LM324DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM324DR?qs=KaAwwOlwaps1n%2FWkYDapEg%3D%3D","",""
"","","IC_grid23","LM324DR","quad_opamp:LM324DR","lm324:SOIC127P600X175-14N","http://componentsearchengine.com/Datasheets/3/LM324DR.pdf","","QUADRUPLE OPERATIONAL AMPLIFIERS","","1.75","Texas Instruments","LM324DR","595-LM324DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM324DR?qs=KaAwwOlwaps1n%2FWkYDapEg%3D%3D","",""
"","","J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
